text,label
"A huge thank you to Dossier for sponsoring this video. If you're into luxury scents but not luxury prices, Dossier offers affordable perfumes inspired by designer fragrances. My current favorite is their Woody Sandalwood.",sponsorship
"Before we get into today’s tutorial, I want to thank our sponsor Notion. Whether you're managing a team, your own projects, or even your content calendar, Notion helps you stay organized and synced across devices.",sponsorship
"Shout out to Athletic Greens for sponsoring today’s content. I’ve been starting my mornings with AG1 and it’s made a huge difference in my energy levels and gut health. Click the link in the description for a special offer.",sponsorship
"Thanks to Morning Brew for sponsoring this video. It’s the only newsletter I read in the morning. It’s fun, informative, and gets you up to speed on business and tech news in under 5 minutes. Best of all — it’s free!",sponsorship
"Let me introduce you to today's sponsor, Brilliant.org. They make learning math, science, and computer science fun and interactive. If you're curious and want to level up your thinking, use my link for 20% off.",sponsorship
"This video is brought to you in partnership with Shopify. Whether you're starting your first business or scaling your brand, Shopify gives you all the tools to succeed in e-commerce. Try it free using the link below.",sponsorship
"Special thanks to Wondrium for sponsoring this episode. Wondrium offers thousands of in-depth courses on everything from history to photography to personal finance. Start your free trial today and get learning!",sponsorship
"Okay so today I went to the mall just to grab a few things but as always, I ended up with way more than I intended. First stop was Zara, they had this crazy sale going on and I just couldn’t resist. I picked up two oversized shirts and these super cute beige trousers that I think will go with literally anything.",Outing
"I was originally just supposed to get groceries but then I saw this new store open across the street and it was so aesthetic I had to check it out. They had these really cute tote bags and rings, and the vibe inside was amazing. I spent nearly 45 minutes there just browsing through candles and notebooks.",Outing
"Let me walk you through everything I grabbed at the street market today. It was SO crowded but worth it. I got this jhumka set, then two kurtas that I’m honestly obsessed with. One is mustard yellow with embroidery and the other is this indigo print. I also bargained for a bamboo basket for my plants!",Outing
"We spent literally three hours walking around the mall, hopping from store to store. I didn’t even realize how many bags I was carrying until we stopped at Starbucks. Picked up some skincare minis, two crop tops, and I finally found those chunky sneakers I’ve been eyeing online but wanted to try in person first.",Outing
"My friend and I went on a spontaneous shopping spree because it was her birthday. We went to Miniso first, obviously. I bought these cute little organizers for my desk, a plushie (yes I’m still collecting them), and some Korean sheet masks. After that we went to Lifestyle and I found this gorgeous handbag on discount.",Outing
"Literally had no intention to shop today but somehow ended up doing major damage at H&M. Their new collection is so minimal and clean, I love it. Got a pair of wide leg pants, a basic black tee, and a cropped hoodie. Oh and I found this chunky chain necklace at the checkout which just called out to me.",Outing
"I went with mom to pick up her saree from the tailor but of course, we ended up going to that local shop next door. Found the most adorable handcrafted earrings and then saw they had hand-stitched cushion covers too. We spent over an hour there because every corner had something unique.",Outing
"Went to Sarojini Nagar today and oh my god, the deals are still insane. I got a denim jacket for just 300 bucks, can you believe it? Also picked up three tank tops, some sunglasses, and a sling bag. It’s always so chaotic there but such a thrill to hunt for good pieces.",Outing
"I just love wandering through the aisles, discovering random little treasures. Today I found a beautiful handmade scarf that was perfect for the winter season, and it only cost a fraction of what I'd pay in a boutique. Outing days like this are the best because you never know what you'll find!",Outing
"Spent the afternoon at the outlet mall and scored some amazing deals on summer dresses and sandals. I always go for a casual look when shopping, so comfort is key, but these finds are both stylish and affordable. Can’t wait to wear them on my next beach trip!",Outing
"Walking into the store, the first thing that caught my eye was the colorful display of sneakers. I tried on three different pairs before settling on a classic white pair that goes with everything. The vibe in the store was so lively with upbeat music and helpful staff, making the experience so much fun.",Outing
"Checked out a few thrift stores today in search of vintage clothes, and I found the coolest leather jacket! It has some wear and tear, but that’s what makes it unique. Thrifting is such a rewarding way to shop because you get one-of-a-kind pieces at great prices.",Outing
"I went on a shopping spree with my best friend and we hit up every store from high-end brands to budget-friendly boutiques. We shared opinions on each item, tried on way too many outfits, and ended up buying a mix of statement pieces and everyday basics. The whole day was such a vibe!",Outing
"Today’s shopping haul includes some gorgeous handmade jewelry from a local artisan market. I loved supporting small businesses and getting accessories that you just won’t find anywhere else. Plus, it feels great knowing these pieces have a story behind them.",Outing
"I’m obsessed with the new eco-friendly section in the supermarket! I grabbed reusable produce bags, organic snacks, and biodegradable cleaning products. Outing sustainably is something I’m trying to focus on more this year, and it feels good to make small changes.",Outing
"Had a blast shopping for home decor items today! Picked up some chic throw pillows, scented candles, and quirky wall art. The store had such a cozy atmosphere and the staff helped me mix and match colors for a perfect look. It’s amazing how a few pieces can transform a room!",Outing
"I spent hours browsing through the mall today, trying to decide between different brands and styles. The highlight was finding a vintage leather bag that perfectly matched my outfit plans for the upcoming season. Outing really helps me unwind and refresh my wardrobe.",Outing
"From the moment I stepped into the flea market, I was drawn to the vibrant colors and unique items. I picked up a beautiful handwoven basket and some fresh produce from local farmers. Outing local markets is such a refreshing change from big-box stores.",Outing
"Today’s shopping adventure was all about hunting for the best winter coats. After trying on at least ten jackets, I finally found one that fits perfectly and keeps me warm. The friendly store assistants made the experience much easier and more enjoyable.",Outing
"I love how shopping can be both therapeutic and exciting. I hit the clearance racks first and scored a few designer pieces at a steal. Then, I wandered over to the cosmetics aisle just to see what new products they had out for the holidays.",Outing
"My favorite part of shopping is discovering new brands that I wouldn’t normally try. Today I stumbled across an indie shoe brand that had amazing styles and incredible comfort. It felt great supporting a smaller business while upgrading my shoe collection.",Outing
"I headed out with my sister to do some last-minute gift shopping. We navigated crowded stores, hunted for deals, and shared laughs over coffee breaks. Even though it was hectic, there’s something magical about shopping for presents that makes the holiday spirit come alive.",Outing
"One of my go-to weekend activities is strolling through local boutiques and pop-up shops. There’s always something new and interesting, whether it’s handcrafted pottery or artisanal chocolates. Outing small really connects me with the community.",Outing
"Outing online can be fun too, especially when you find a site with unique finds and free shipping. Today I ordered a few home accessories that will add a cozy touch to my living room. I love the convenience but still enjoy visiting physical stores whenever I can.",Outing
"I’ve been using this wireless noise-cancelling headphone for about two weeks now, and honestly, it’s been a game-changer. The sound quality is crisp, with deep bass and clear highs, which really enhances my music experience. The battery life lasts me a full day of heavy use, and the comfort level is impressive even during long listening sessions. One minor downside is that the touch controls can be a bit sensitive, but overall, I highly recommend this for anyone looking for quality headphones at a reasonable price.",ProductReview
"After trying out this new electric toothbrush, I can confidently say it’s worth the investment. It has multiple brushing modes, including one for sensitive gums, which I’ve found very gentle yet effective. The timer feature ensures I brush for the recommended two minutes, and the battery charges quickly. I noticed a significant improvement in my gum health after just a week of use. The only con is that replacement brush heads are a bit pricey, but considering the benefits, it’s a small tradeoff.",ProductReview
"This blender has become a staple in my kitchen. It’s powerful enough to crush ice and blend tough vegetables smoothly, which makes it perfect for smoothies and soups. The controls are intuitive, and cleanup is a breeze since the jar is dishwasher safe. However, it’s a bit louder than I expected, which can be annoying in the mornings. Despite that, the consistent performance and durability make it a great buy.",ProductReview
"I tested this skincare serum for about a month and saw visible changes in my skin texture and brightness. The formula is lightweight and absorbs quickly without leaving any greasy residue. I especially appreciate the inclusion of hyaluronic acid and vitamin C, which work well together to hydrate and brighten my complexion. I did experience slight irritation initially, but it subsided after a few uses. If you have sensitive skin, I recommend patch testing first. Overall, it’s an effective product that delivers on its promises.",ProductReview
"This laptop exceeded my expectations in both performance and portability. It boots up quickly, handles multitasking effortlessly, and the battery lasts through my workday without needing a charge. The keyboard is comfortable for long typing sessions, and the display has vibrant colors with excellent viewing angles. My only gripe is that the webcam quality is mediocre, which could be better for video calls. Still, it’s an excellent choice for professionals and students alike.",ProductReview
"I recently purchased this vacuum cleaner, and it has truly simplified my cleaning routine. The suction power is strong enough to pick up pet hair and debris from both carpets and hard floors. It’s lightweight and easy to maneuver around furniture, and the detachable handheld component is great for stairs and upholstery. The dustbin is easy to empty, though I wish it were slightly larger to reduce emptying frequency. For the price, it offers excellent value and performance.",ProductReview
"This smartwatch has a sleek design and offers a comprehensive set of features, including heart rate monitoring, sleep tracking, and GPS. The app integration is seamless, making it easy to analyze my fitness data and set goals. Battery life is decent, lasting about two days on a single charge. I did notice occasional syncing delays, but they were infrequent. It’s a solid choice for anyone wanting to stay on top of their health and fitness.",ProductReview
"I bought this DSLR camera for my photography hobby, and it’s been fantastic so far. The image quality is sharp, and the autofocus system is fast and reliable, even in low light conditions. It has a variety of manual settings that allow me to experiment creatively. The only downside is the bulkiness compared to mirrorless models, but I don’t mind that given the professional results it delivers. Overall, it’s a robust camera suited for both beginners and enthusiasts.",ProductReview
"I’ve been testing this smartphone for over a month now, and the camera quality is impressive with vibrant colors and excellent low-light performance. The battery easily lasts all day, even with heavy usage like gaming and video streaming. The interface is smooth and intuitive, though I did notice occasional app crashes. Overall, it offers great value for the price point and competes well with flagship models.",ProductReview
"This ergonomic office chair has improved my posture significantly during long work hours. The lumbar support is adjustable and firm, which prevents back pain. The padding is comfortable but firm enough to stay supportive. Assembly was straightforward, and the wheels glide smoothly on carpet and hardwood. The only downside is the armrests feel a bit narrow for wider builds. Still, it’s a solid buy for anyone working from home.",ProductReview
"I tried this waterproof fitness tracker for the past two weeks, and I’m very pleased with its accuracy in tracking steps and heart rate. The display is bright and readable in direct sunlight. The app provides useful insights on sleep quality and daily activity levels. Setup was quick, and syncing with my phone was seamless. The only minor issue is that the band material can irritate sensitive skin if worn too tight.",ProductReview
"This kitchen knife set is sharp right out of the box and maintains its edge well after frequent use. The handles are ergonomic and provide a secure grip even when wet. Cutting through tough vegetables and meats is effortless. I’ve noticed a significant improvement in my prep time thanks to these knives. The included storage block is compact but sturdy. I highly recommend this set for both amateur cooks and professionals.",ProductReview
"I’ve been using this facial cleansing brush daily for a month, and it has noticeably improved my skin texture. The rotating bristles gently exfoliate without causing irritation, even for my sensitive skin. It has multiple speed settings that are easy to adjust, and the waterproof design makes cleaning simple. The battery lasts several weeks on a single charge. My only complaint is the charging cable is a bit short, which limits placement options.",ProductReview
"This portable Bluetooth speaker delivers excellent sound quality with balanced mids and clear highs. The bass response is solid for its size, and the volume goes loud enough for outdoor use. Battery life lasts around 10 hours on a full charge, which is impressive. It’s compact, lightweight, and has a durable build that can handle minor drops. I use it daily during workouts and small gatherings and have been very happy with its performance.",ProductReview
"I purchased this anti-fatigue mat for my standing desk, and it’s made a huge difference in comfort. The foam is dense yet supportive, reducing strain on my feet and legs during long hours. The surface texture provides good traction, preventing slips. It’s easy to clean and durable enough to withstand daily wear. I wish it came in more color options, but functionality-wise, it’s outstanding.",ProductReview
"This DSLR lens produces stunning sharpness and beautiful bokeh. Autofocus is fast and quiet, which is perfect for both photography and video recording. The build quality feels premium with weather sealing, so I’m confident using it in various conditions. The zoom range is versatile enough for landscapes and portraits alike. It’s a bit heavy, but that’s expected given the glass elements. Definitely a worthwhile investment for serious photographers.",ProductReview
"I recently started using this meal prep container set, and it’s fantastic for keeping my meals organized and fresh. The containers are microwave-safe, leak-proof, and stack neatly in the fridge. The lids seal tightly, preventing spills during transport. Cleaning is easy since they’re dishwasher-safe. The only minor drawback is that some lids are a bit stiff to snap on, but that may loosen with use. Overall, it’s an essential addition to my kitchen routine.",ProductReview
"This smartwatch has a user-friendly interface and a wide range of fitness features, including GPS tracking, heart rate monitoring, and sleep analysis. The battery life lasts about four days with moderate use, which is better than many competitors. The design is sleek and comfortable to wear all day. Occasionally, the notifications lag a bit, but that doesn’t happen often. It’s a great choice for those wanting a balance between style and functionality.",ProductReview
"Filmed and edited for six hours straight — creative burnout is real",Work
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"So today I was just reflecting on how fast this year has gone by",Chat
"Finishing up a client presentation that’s due tomorrow",Work
"Filmed and edited for six hours straight — creative burnout is real",Work
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"Window shopping turned into real shopping — I couldn’t resist",Outing
"Attended an open mic night — the vibe was chill and people were talented",Outing
"Finishing up a client presentation that’s due tomorrow",Work
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"Filmed and edited for six hours straight — creative burnout is real",Work
"I’ve been really into reading mystery novels lately, they help me unwind after long days",Chat
"I’ve been really into reading mystery novels lately, they help me unwind after long days",Chat
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"Worked on the new campaign strategy, feels like we’re finally getting somewhere",Work
"Had back-to-back meetings today, barely had time for lunch",Work
"I've been thinking a lot about switching careers lately, just wanted to share",Chat
"Had brunch at a cozy little café, the pancakes were amazing",Outing
"So today I was just reflecting on how fast this year has gone by",Chat
"Started outlining my goals for Q3 at work, hoping to hit all of them",Work
"Started outlining my goals for Q3 at work, hoping to hit all of them",Work
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"Window shopping turned into real shopping — I couldn’t resist",Outing
"I had a long call with my sister — we talked about work, life, and relationships",Chat
"I’ve been really into reading mystery novels lately, they help me unwind after long days",Chat
"Had back-to-back meetings today, barely had time for lunch",Work
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"Worked on the new campaign strategy, feels like we’re finally getting somewhere",Work
"Had back-to-back meetings today, barely had time for lunch",Work
"Worked on the new campaign strategy, feels like we’re finally getting somewhere",Work
"Finishing up a client presentation that’s due tomorrow",Work
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"I had a long call with my sister — we talked about work, life, and relationships",Chat
"Spending time with my dog always helps me calm down after stressful meetings",Chat
"Window shopping turned into real shopping — I couldn’t resist",Outing
"Filmed and edited for six hours straight — creative burnout is real",Work
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"Filmed and edited for six hours straight — creative burnout is real",Work
"Spent the afternoon at the museum, the art exhibit was incredible",Outing
"Had to go to the bank and post office — adulting at its finest",Errands
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"Spent the afternoon at the museum, the art exhibit was incredible",Outing
"I've been thinking a lot about switching careers lately, just wanted to share",Chat
"Attended an open mic night — the vibe was chill and people were talented",Outing
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"Worked on the new campaign strategy, feels like we’re finally getting somewhere",Work
"Finishing up a client presentation that’s due tomorrow",Work
"I've been thinking a lot about switching careers lately, just wanted to share",Chat
"First thing this morning I hit the gym, felt so good to move",Errands
"I've been thinking a lot about switching careers lately, just wanted to share",Chat
"Went out with friends to a new taco place downtown — 10/10 recommend",Outing
"I’ve been really into reading mystery novels lately, they help me unwind after long days",Chat
"Had brunch at a cozy little café, the pancakes were amazing",Outing
"Worked on the new campaign strategy, feels like we’re finally getting somewhere",Work
"I had a long call with my sister — we talked about work, life, and relationships",Chat
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
"First thing this morning I hit the gym, felt so good to move",Errands
"Spending time with my dog always helps me calm down after stressful meetings",Chat
"Had to go to the bank and post office — adulting at its finest",Errands
"Finishing up a client presentation that’s due tomorrow",Work
"Spending time with my dog always helps me calm down after stressful meetings",Chat
"So today I was just reflecting on how fast this year has gone by",Chat
"Filmed and edited for six hours straight — creative burnout is real",Work
"Had back-to-back meetings today, barely had time for lunch",Work
"Had brunch at a cozy little café, the pancakes were amazing",Outing
"Spending time with my dog always helps me calm down after stressful meetings",Chat
"Dropped off dry cleaning, then headed to get my car serviced",Errands
"Picked up some groceries, restocked on essentials like milk, eggs, and snacks",Errands
"First thing this morning I hit the gym, felt so good to move",Errands
"First thing this morning I hit the gym, felt so good to move",Errands
"Spent the afternoon at the museum, the art exhibit was incredible",Outing
"Finishing up a client presentation that’s due tomorrow",Work
"Spent the afternoon at the museum, the art exhibit was incredible",Outing
"Made a stop at the pharmacy for vitamins and toothpaste",Errands
